epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,17783.2,1.72587,2.11851,1.70065,0.47056,0.43056,0.42094,0.18066,1.88712,2.27819,1.87953,0.006337,0.006337,0.006337
113,17941.2,1.75552,2.12959,1.71756,0.46796,0.43194,0.42097,0.18059,1.88738,2.27932,1.87973,0.006304,0.006304,0.006304
114,18099.1,1.73365,2.09776,1.68804,0.46748,0.42917,0.42063,0.18039,1.88813,2.28028,1.88005,0.006271,0.006271,0.006271
115,18257.3,1.73246,2.10274,1.70345,0.46968,0.43053,0.42296,0.18158,1.88547,2.28382,1.8797,0.006238,0.006238,0.006238
116,18415.6,1.72933,2.1074,1.69232,0.47119,0.41952,0.42243,0.18081,1.88521,2.28611,1.87969,0.006205,0.006205,0.006205
117,18573.6,1.72632,2.08808,1.68717,0.47044,0.42083,0.42116,0.18048,1.88539,2.28662,1.8797,0.006172,0.006172,0.006172
118,18731.8,1.73093,2.07032,1.6916,0.46996,0.42083,0.42186,0.18073,1.88738,2.2858,1.88063,0.006139,0.006139,0.006139
119,18889.8,1.71455,2.08417,1.66881,0.46892,0.42083,0.42295,0.18087,1.88969,2.28398,1.88069,0.006106,0.006106,0.006106
120,19048.2,1.71826,2.08586,1.68638,0.46852,0.42083,0.42267,0.18112,1.88706,2.2875,1.8814,0.006073,0.006073,0.006073
121,19206.1,1.71859,2.10278,1.67162,0.45469,0.425,0.42318,0.18129,1.88932,2.28573,1.88127,0.00604,0.00604,0.00604
122,19364.2,1.73069,2.08434,1.69006,0.45537,0.425,0.42399,0.18158,1.88871,2.28398,1.88199,0.006007,0.006007,0.006007
123,19522.5,1.72679,2.08337,1.6848,0.45619,0.425,0.42438,0.18162,1.88962,2.28226,1.88319,0.005974,0.005974,0.005974
124,19680.7,1.71462,2.0713,1.68056,0.45611,0.425,0.42423,0.18196,1.88898,2.2827,1.88261,0.005941,0.005941,0.005941
125,19838.9,1.70525,2.06494,1.68147,0.45952,0.425,0.42499,0.18204,1.88851,2.28372,1.88248,0.005908,0.005908,0.005908
126,19997.3,1.71665,2.05532,1.68229,0.45755,0.425,0.42416,0.18127,1.89048,2.2833,1.88359,0.005875,0.005875,0.005875
